InsiderID, NodeCount, EdgeCount
100951,2,1
92758,2,1
92760,3,3
76378,6,15
76382,4,6
84574,3,3
92773,2,1
76389,2,1
76390,2,1
100977,3,3
92784,2,1
84592,2,1
109170,2,1
92798,2,1
84609,2,1
109185,2,1
84610,2,1
76420,4,6
92807,9,36
92806,3,3
100998,2,1
84617,2,1
92811,3,3
84619,2,1
92810,3,3
84621,2,1
92812,2,1
109196,2,1
109199,2,1
109198,2,1
76433,2,1
84625,4,6
76432,2,1
92816,2,1
92821,3,3
109206,2,1
92824,2,1
109210,2,1
109215,2,1
109214,2,1
76451,2,1
84643,2,1
84642,2,1
109227,3,3
84652,2,1
109228,2,1
84655,2,1
109230,2,1
109238,12,65
109241,12,65
84669,2,1
92860,3,3
92863,2,1
92865,2,1
101059,4,6
109255,4,6
109256,4,6
92872,2,1
76493,3,3
76497,3,3
76496,2,1
109264,2,1
76499,3,3
109271,2,1
109270,2,1
101078,3,3
109273,4,6
109272,4,6
84696,3,3
109275,3,3
109274,3,3
109276,3,3
101089,9,36
109281,4,6
101091,9,36
76514,6,15
76525,4,6
76527,4,6
76529,4,6
76528,4,6
101106,2,1
76533,2,1
76537,6,15
84729,2,1
76539,6,15
84731,4,4
109307,7,21
84730,2,1
76541,6,15
109309,7,21
76543,6,15
76542,6,15
109310,7,21
109313,7,21
109312,7,21
92931,2,1
84739,5,10
76547,6,15
101123,3,3
109315,7,21
109314,5,10
109317,7,21
84760,2,1
109339,3,3
84762,5,10
84765,5,10
84764,5,10
109340,3,3
101148,2,1
84767,5,10
84772,2,1
84775,5,10
84774,5,10
84776,5,10
109355,2,1
109354,2,1
101165,3,3
101164,3,3
101167,3,3
109359,2,1
109360,2,1
84787,2,1
109363,3,3
84786,2,1
